method,rel_step,max_abs_error,rms_error
central,0.01,2.886579864025407e-15,1.557916898992178e-15
central,0.001,1.709743457922741e-14,8.579102617229983e-15
central,0.0001,4.43312053732825e-13,2.327817845587339e-13
central,1e-05,5.46140910273607e-12,3.0261576607424096e-12
central,1e-06,3.450684182837449e-11,2.3684709031349076e-11
central,1e-07,6.316269729467194e-10,4.4809233673645105e-10
forward,0.01,0.0019999999999988916,0.0009999999999994458
forward,0.001,0.00019999999999886775,9.999999999943388e-05
forward,0.0001,2.0000000132247564e-05,1.0000000066123785e-05
forward,1e-05,2.0000054612445695e-06,1.0000027306231352e-06
forward,1e-06,1.9996549327494506e-07,9.998274795412423e-08
forward,1e-07,2.0631627073441905e-08,1.0320710126168582e-08
complex,0.01,1.1102230246251565e-16,5.561946577567963e-17
complex,0.001,0.0,0.0
complex,0.0001,0.0,0.0
complex,1e-05,0.0,0.0
complex,1e-06,0.0,0.0
complex,1e-07,0.0,0.0
