check,calculated,published,absolute_difference
Table 4 A11 component sum,-0.64,-0.64,0.0
Table 5 A31 component sum,-0.88,-0.88,0.0
Table 5 A32 component sum,-0.06999999999999995,-0.08,0.01000000000000005
Table 5 A33 component sum,-3.81,-3.81,0.0
Table 5 A34 component sum,0.9,0.9,0.0
Table 5 A35 component sum,-2.92,-2.91,0.009999999999999787
Table 6 dry contribution sum,0.21000000000000002,0.21,2.7755575615628914e-17
Table 6 moist contribution sum,-0.14999999999999997,-0.15,2.7755575615628914e-17
Table 7 dry contribution sum,-2.85,-2.85,0.0
Table 7 moist contribution sum,2.85,2.87,0.020000000000000018
